Question_Text,Response_Scale,Category,Agreement,Neutral,Disagreement,N_Respondents,Country,Survey_Organisation,Notes,source_file,extraction_date,Fieldwork_Date,country_region,month,year,Fieldwork_Year,Fieldwork_Month
Do you think that artificial intelligence will reduce the total number of jobs in the country over the next 10 years?,"Yes, No",Job_Displacement,75,0,25,5835,United States,Bentley-Gallup,"Gallup Panel web survey. Margin of sampling error at the 95% confidence level is ±2.1 percentage points for response percentages around 50% and is ±1.3 percentage points for response percentages around 10% or 90%, design effect included. Margins of error are larger for subsamples.",gallup_apr_2024.md,2025-07-04,2024-04-29,United States,Apr,2024,2024,4
"How much do you trust businesses, in general, to use artificial intelligence responsibly?","A lot, Some, Not much, Not at all",AI_Risk_Concern,23,0,77,5835,United States,Bentley-Gallup,"Gallup Panel web survey. Margin of sampling error at the 95% confidence level is ±2.1 percentage points for response percentages around 50% and is ±1.3 percentage points for response percentages around 10% or 90%, design effect included. Margins of error are larger for subsamples.",gallup_apr_2024.md,2025-07-04,2024-04-29,United States,Apr,2024,2024,4
"If your employer did the following, what type of effect would it have on your wellbeing: Offered a four-day 40-hour workweek option for employees who typically work 40 hours in a 5-day workweek","Positive impact, No impact, Negative impact",Other,75,14,11,5835,United States,Bentley-Gallup,"Gallup Panel web survey. Margin of sampling error at the 95% confidence level is ±2.1 percentage points for response percentages around 50% and is ±1.3 percentage points for response percentages around 10% or 90%, design effect included. Margins of error are larger for subsamples.",gallup_apr_2024.md,2025-07-04,2024-04-29,United States,Apr,2024,2024,4
"If your employer did the following, what type of effect would it have on your wellbeing: Required employees to return to the office five days per week","Positive impact, No impact, Negative impact",Other,9,50,41,5835,United States,Bentley-Gallup,"Gallup Panel web survey. Margin of sampling error at the 95% confidence level is ±2.1 percentage points for response percentages around 50% and is ±1.3 percentage points for response percentages around 10% or 90%, design effect included. Margins of error are larger for subsamples.",gallup_apr_2024.md,2025-07-04,2024-04-29,United States,Apr,2024,2024,4
How much do you agree or disagree with each of the following statements about artificial intelligence? AI is safe and secure.,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree",AI_Sentiment,48,0,52,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How much do you agree or disagree with each of the following statements about artificial intelligence? AI should be regulated.,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree",AI_Regulation,82,0,18,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How concerned are you about each of the following related to AI? AI being used for malicious intent,"Very concerned, Somewhat concerned, Not very concerned, Not at all concerned",AI_Risk_Concern,78,0,22,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How concerned are you about each of the following related to AI? Lack of transparency around AI,"Very concerned, Somewhat concerned, Not very concerned, Not at all concerned",AI_Risk_Concern,69,0,31,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How concerned are you about each of the following related to AI? AI creating/expanding social bias,"Very concerned, Somewhat concerned, Not very concerned, Not at all concerned",AI_Risk_Concern,62,0,38,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How concerned are you about each of the following related to AI? AI for autonomous vehicles,"Very concerned, Somewhat concerned, Not very concerned, Not at all concerned",AI_Risk_Concern,64,0,36,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How concerned are you about each of the following related to AI? AI for core infrastructure,"Very concerned, Somewhat concerned, Not very concerned, Not at all concerned",AI_Risk_Concern,63,0,37,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
"How comfortable are you with the use of artificial intelligence (AI) for each of the following? Entertainment recommendations on streaming services (e.g., movies and TV series I might like)","Very comfortable, Somewhat comfortable, Not very comfortable, Not at all comfortable",AI_Sentiment,72,0,28,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How comfortable are you with the use of artificial intelligence (AI) for each of the following? Facial recognition technology on my phone or other personal devices,"Very comfortable, Somewhat comfortable, Not very comfortable, Not at all comfortable",AI_Sentiment,49,0,51,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How comfortable are you with the use of artificial intelligence (AI) for each of the following? Targeted advertising on social media,"Very comfortable, Somewhat comfortable, Not very comfortable, Not at all comfortable",AI_Sentiment,42,0,58,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
"How comfortable are you with the use of artificial intelligence (AI) for each of the following? Federal government benefits processing (e.g., social security, Medicare, veterans’ benefits)","Very comfortable, Somewhat comfortable, Not very comfortable, Not at all comfortable",AI_Sentiment,37,0,63,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How comfortable are you with the use of artificial intelligence (AI) for each of the following? Online chat with an automated doctor for routine health questions,"Very comfortable, Somewhat comfortable, Not very comfortable, Not at all comfortable",AI_Sentiment,35,0,65,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
"How comfortable are you with the use of artificial intelligence (AI) for each of the following? Autonomous, unmanned rideshare vehicles such as Uber or Lyft","Very comfortable, Somewhat comfortable, Not very comfortable, Not at all comfortable",AI_Sentiment,35,0,65,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
Were you aware that President Biden and the White House Office of Science and Technology Policy recently announced a “Blueprint for an AI Bill of Rights” outlining basic protections that Americans should have regarding artificial intelligence (AI) and automated systems?,"Yes, No",Other,28,0,72,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How important would each of the following be to you for an “AI Bill of Rights” for American consumers in the age of artificial intelligence? Consumers should: be protected from unsafe or ineffective systems,"Very important, Somewhat important, Not very important, Not at all important",AI_Regulation,92,0,8,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
"How important would each of the following be to you for an “AI Bill of Rights” for American consumers in the age of artificial intelligence? Consumers should: be able to opt out, where appropriate, and have access to a person who can assist them","Very important, Somewhat important, Not very important, Not at all important",AI_Regulation,91,0,9,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How important would each of the following be to you for an “AI Bill of Rights” for American consumers in the age of artificial intelligence? Consumers should: be protected from abusive data practices and have a say in how data about them is used,"Very important, Somewhat important, Not very important, Not at all important",AI_Regulation,91,0,9,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How important would each of the following be to you for an “AI Bill of Rights” for American consumers in the age of artificial intelligence? Consumers should: be informed when an automated system is being used and how and why it contributes to outcomes that impact them,"Very important, Somewhat important, Not very important, Not at all important",AI_Regulation,89,0,11,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
How important would each of the following be to you for an “AI Bill of Rights” for American consumers in the age of artificial intelligence? Consumers should: not face discrimination by algorithms and systems should be used and designed in an equitable way,"Very important, Somewhat important, Not very important, Not at all important",AI_Regulation,88,0,12,2050,United States,MITRE-Harris Poll,"Survey conducted via the Harris On Demand omnibus product. Data weighted to ensure results are projectable to U.S. adults ages 18+. Percentages may not add up to 100% due to weighting, computer rounding, and/or the acceptance of multiple responses.",harris_nov_2022.md,2025-07-04,2022-11-03,United States,Nov,2022,2022,11
