rank,question_text,category,survey_org_clean,country,fieldwork_date,agreement,neutral,disagreement,n_respondents,response_scale,question_type,strategic_value,country_relevance,recency_score,sample_quality,total_score,selection_reason,justification,strategic_context,notes
52,How much would you support or oppose the U.S. government's use of photos from these sources for facial recognition technology? - Social media activity,AI_Regulation,RAND Corporation,United States,2022-10-17,35,0,40,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.9 (Social media activity bar). Support is ~35%, Opposition is ~40%. Neutral/Non-response not explicitly broken out in chart."
53,"How much would you support or oppose the U.S. government's use of photos from these sources for facial recognition technology? - Commercially available data (e.g., credit card purchases)",AI_Regulation,RAND Corporation,United States,2022-10-17,30,0,45,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.9 (Commercially available data bar). Support is ~30%, Opposition is ~45%. Neutral/Non-response not explicitly broken out in chart."
54,"Identify owners of vehicles at government buildings, such as courthouses",AI_Regulation,RAND Corporation,United States,2022-10-17,60,0,20,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.10. Support is ~60%, Opposition is ~20%. Neutral/Non-response not explicitly broken out in chart."
55,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Cashiers in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,13,73,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
56,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Journalists in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,17,59,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
57,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Factory workers in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,15,67,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
58,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Truck drivers in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,42,33,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
59,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Musicians in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,30,45,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
60,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Teachers in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,32,43,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
61,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Medical doctors in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,44,28,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
62,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Mental health therapists in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,32,29,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
63,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Software engineers in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,11,48,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
64,How much confidence do you have in U.S. companies to develop and use artificial intelligence (AI) responsibly?,AI_Regulation,Pew Research Center,United States,2024-08-12,8,24,59,5410,"A great deal/Quite a bit, Some, Not too much/None, Not sure",trust_safety,8,9,5,5,37,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Trust building: Reveals public trust gaps in AI safety,Data for U.S. adults. 'A great deal of confidence' and 'Quite a bit of confidence' are combined for 'A great deal/Quite a bit'. 'Not too much confidence' and 'None' are combined for 'Not too much/None'. Those who did not give an answer are not shown.
65,"Thinking about actions to regulate the development and use of Al, do you think too much, too little or the right amount is being done by...? Technology companies or social media companies",AI_Regulation,Ipsos,UK,2023-09-01,6,15,57,5098,Too much; The right amount; Too little; Don't know,regulation_policy,10,8,4,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'Too much'. Neutral is 'The right amount'. Disagreement is 'Too little'.
66,"Thinking about the current or future use of AI technologies, how comfortable or uncomfortable are you with AI helping identify those at increased risk of chronic illnesses?",AI_Sentiment,Ipsos,UK,2024-03-01,55,NA,22,5150,Comfortable; Uncomfortable,risk_concern,9,8,5,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,Agreement is 'Comfortable'. Disagreement is 'Uncomfortable'. Non-response calculated as 100 - (55+22). Base: All UK adults 16+. Note that use cases were asked in either March 2024 or September 2023.
67,"Thinking about job roles like your current one, to what extent do you think AI technologies will replace job roles like yours in the next 3 to 5 years?",Job_Displacement,Ipsos,UK,2024-03-01,7,46,41,2506,Completely replaced by AI; Mostly replaced by AI; Partly replaced by AI; Completely unaffected by AI; Don't know / Prefer not to say,job_displacement,8,8,5,5,36,Representative of semantic group,Best representative of 'AI Job Displacement Concern' theme,Economic impact: Tracks job displacement concerns,Agreement combines 'Completely replaced by AI' and 'Mostly replaced by AI'. Neutral is 'Partly replaced by AI'. Disagreement is 'Completely unaffected by AI'. Non-response combines 'Don't know / Prefer not to say'. Base: All UK adults 16+ who are in work.
68,"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing risk of cancer? A governmental body",AI_Regulation,Ada Lovelace Institute,Great Britain,2022-11-01,44,NA,48,2011,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say",regulation_policy,10,8,3,5,36,Representative of semantic group,Best representative of 'Concern about AI Developer Type for Cancer Assessment' theme,Policy advocacy: Demonstrates public support for AI regulation,"A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began."
69,"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing eligibility for welfare? A governmental body",AI_Regulation,Ada Lovelace Institute,Great Britain,2022-11-01,51,NA,41,2012,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say",regulation_policy,10,8,3,5,36,Representative of semantic group,Best representative of 'Concern about AI Developer Type for Welfare Assessment' theme,Policy advocacy: Demonstrates public support for AI regulation,"A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began."
70,"Which of the following, if any, would make you more comfortable with AI technologies being used? Laws and regulations",AI_Regulation,Ada Lovelace Institute,Great Britain,2022-11-01,62,NA,NA,4010,Percentage selecting,regulation_policy,10,8,3,5,36,Representative of semantic group,Best representative of 'Conditions for AI Acceptance' theme,Policy advocacy: Demonstrates public support for AI regulation,"A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began."
71,"Which of the following, if any, would make you more comfortable with AI technologies being used? Government regulator approval",AI_Regulation,Ada Lovelace Institute,Great Britain,2022-11-01,38,NA,NA,4010,Percentage selecting,regulation_policy,10,8,3,5,36,Representative of semantic group,Best representative of 'Conditions for AI Acceptance' theme,Policy advocacy: Demonstrates public support for AI regulation,"A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began."
72,Extent to which the public think Al is an opportunity or a risk to ... The UK economy,AI_Risk_Concern,Ipsos,UK,2023-09-01,23,35,32,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk Economy' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'.
73,"On balance, do you see AI as more of an opportunity or a risk for The UK economy?",AI_Risk_Concern,Ipsos,UK,2023-09-01,23,36,33,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk Economy' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'. Non-response calculated as 100 - (23+36+33). Base: All adults 16+.
74,Extent to which the public think Al is an opportunity or a risk to ... The UK's national security,AI_Risk_Concern,Ipsos,UK,2023-09-01,13,28,52,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk NationalSecurity' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'.
75,"On balance, do you see AI as more of an opportunity or a risk for The UK's national security?",AI_Risk_Concern,Ipsos,UK,2023-09-01,11,29,53,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk NationalSecurity' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'. Non-response calculated as 100 - (11+29+53). Base: All adults 16+.
76,Extent to which the public think Al is an opportunity or a risk to ... You personally,AI_Risk_Concern,Ipsos,UK,2023-09-01,22,30,29,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk Personal' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'.
77,"On balance, do you see AI as more of an opportunity or a risk for You personally?",AI_Risk_Concern,Ipsos,UK,2023-09-01,22,30,29,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk Personal' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'. Non-response calculated as 100 - (22+30+29). Base: All adults 16+.
78,Extent to which the public think Al is an opportunity or a risk to ... UK society,AI_Risk_Concern,Ipsos,UK,2023-09-01,19,35,39,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk Society' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'.
79,"On balance, do you see AI as more of an opportunity or a risk for UK society?",AI_Risk_Concern,Ipsos,UK,2023-09-01,19,37,39,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,Representative of semantic group,Best representative of 'Perceived Impact AI Opportunity vs Risk Society' theme,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'. Non-response calculated as 100 - (19+37+39). Base: All adults 16+.
80,"Thinking about job roles like your current one, to what extent do you think AI technologies will be used in job roles like yours in the next 3 to 5 years?",Job_Displacement,Ipsos,UK,2024-03-01,34,37,24,2506,Use AI a lot; Use a fair amount of AI; Use AI but not much; Not use AI at all; Don't know / Prefer not to say,job_displacement,8,8,5,5,36,Representative of semantic group,Best representative of 'Perceived Transformation Of Work By AI' theme,Economic impact: Tracks job displacement concerns,Agreement combines 'Use AI a lot' and 'Use a fair amount of AI'. Neutral is 'Use AI but not much'. Disagreement is 'Not use AI at all'. Base: All UK adults 16+ who are in work.
81,"How often, if at all, have you used such 'generative' AI tools (including tools like ChatGPT, Jasper and Bard) in your work life?",AI_Knowledge,Ipsos,UK,2024-03-01,12,21,65,2506,Very often; Fairly often; Not very often; Not at all; Don't know,job_displacement,8,8,5,5,36,Representative of semantic group,Best representative of 'Personal Use Generative AI Work' theme,Economic impact: Tracks job displacement concerns,Agreement combines 'Very often' and 'Fairly often'. Neutral is 'Not very often'. Disagreement is 'Not at all'. Base: All UK adults 16+ who are in work.
82,Who do you think should be most responsible for ensuring AI is used safely? An independent regulator,AI_Regulation,Ada Lovelace Institute,Great Britain,2022-11-01,41,NA,NA,4010,Percentage selecting,regulation_policy,10,8,3,5,36,Representative of semantic group,Best representative of 'Responsibility for AI Safety Attribution' theme,Policy advocacy: Demonstrates public support for AI regulation,"A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began. Respondents could choose up to two options."
83,Who do you think should be most responsible for ensuring AI is used safely? The Government,AI_Regulation,Ada Lovelace Institute,Great Britain,2022-11-01,20,NA,NA,4010,Percentage selecting,regulation_policy,10,8,3,5,36,Representative of semantic group,Best representative of 'Responsibility for AI Safety Attribution' theme,Policy advocacy: Demonstrates public support for AI regulation,"A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began. Respondents could choose up to two options."
84,"How confident, if at all, are you that you have the skills you might need in order to use AI in your current job role / in the job you want to do?",Job_Displacement,Ipsos,UK,2024-03-01,36,NA,40,2681,% confident,job_displacement,8,8,5,5,36,Representative of semantic group,Best representative of 'Self Assessed AI Knowledge And Skills' theme,Economic impact: Tracks job displacement concerns,Agreement is '% confident'. Disagreement is '% not confident' (calculated as 100 - 36 - non_response). Non-response is 'Don't know / Prefer not to say' (not explicitly shown but implied by text '36% versus 40%'). Base: All UK adults 16+ who are in work or looking for work.
85,How comfortable the public are with the use of Al to... Identify potential health risks or early signs of disease using wearable devices,AI_Sentiment,Ipsos,UK,2023-09-01,48,21,27,5098,Comfortable; Neither comfortable nor uncomfortable; Uncomfortable,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,NA
86,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Healthcare,Job_Displacement,Ipsos,UK,2023-09-01,39,NA,13,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
87,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Manufacturing sector,Job_Displacement,Ipsos,UK,2023-09-01,30,NA,36,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
88,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Customer service sectors,Job_Displacement,Ipsos,UK,2023-09-01,26,NA,48,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
89,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Media industry,Job_Displacement,Ipsos,UK,2023-09-01,22,NA,34,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
90,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Teaching,Job_Displacement,Ipsos,UK,2023-09-01,20,NA,17,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
91,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Creative industries,Job_Displacement,Ipsos,UK,2023-09-01,18,NA,41,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
92,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Agriculture,Job_Displacement,Ipsos,UK,2023-09-01,16,NA,6,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
93,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Professional service sectors,Job_Displacement,Ipsos,UK,2023-09-01,13,NA,12,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
94,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Construction sector,Job_Displacement,Ipsos,UK,2023-09-01,11,NA,7,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
95,Industries or sectors where the public think jobs could most benefit and are most at risk from Al technologies in the next 3 to 5 years - Care sector,Job_Displacement,Ipsos,UK,2023-09-01,6,NA,8,5098,Most at risk; Most benefit,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,"Agreement is 'Most benefit'. Disagreement is 'Most at risk'. Prompted, up to 3 options allowed for each."
96,How likely the public think it is that Al will lead to the extinction of the human race,Extinction_Risk,Ipsos,UK,2023-09-01,19,18,54,5098,Likely; Neither likely nor unlikely; Unlikely; Don't know,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,Agreement is 'Likely'. Neutral is 'Neither likely nor unlikely'. Disagreement is 'Unlikely'.
97,"On balance, do you see AI as more of an opportunity or a risk for Public services in the UK?",AI_Risk_Concern,Ipsos,UK,2023-09-01,26,35,32,5098,More of an opportunity; As much of an opportunity as a risk; More of a risk,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,Agreement is 'More of an opportunity'. Neutral is 'As much of an opportunity as a risk'. Disagreement is 'More of a risk'. Non-response calculated as 100 - (26+35+32). Base: All adults 16+.
98,"Thinking about the current or future use of AI technologies, how comfortable or uncomfortable are you with AI monitoring social media for signs of criminal activity or threats to public safety?",AI_Sentiment,Ipsos,UK,2024-03-01,56,NA,23,5150,Comfortable; Uncomfortable,trust_safety,8,8,5,5,36,High strategic value from reputable source,Medium-high strategic value - trust/safety/jobs,Trust building: Reveals public trust gaps in AI safety,Agreement is 'Comfortable'. Disagreement is 'Uncomfortable'. Non-response calculated as 100 - (56+23). Base: All UK adults 16+. Note that use cases were asked in either March 2024 or September 2023.
99,"Thinking about the current or future use of AI technologies, how comfortable or uncomfortable are you with AI identifying potential health risks or early signs of diseases via wearable devices?",AI_Sentiment,Ipsos,UK,2023-09-01,48,NA,27,5098,Comfortable; Uncomfortable,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,Agreement is 'Comfortable'. Disagreement is 'Uncomfortable'. Non-response calculated as 100 - (48+27). Base: All adults 16+. Note that use cases were asked in either March 2024 or September 2023.
100,"Thinking about the current or future use of AI technologies, how comfortable or uncomfortable are you with AI predicting whether someone arriving in the UK is likely to overstay their visa or pose a security risk?",AI_Sentiment,Ipsos,UK,2023-09-01,40,NA,34,5098,Comfortable; Uncomfortable,risk_concern,9,8,4,5,36,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Risk communication: Shows public concern about AI risks,Agreement is 'Comfortable'. Disagreement is 'Uncomfortable'. Non-response calculated as 100 - (40+34). Base: All adults 16+. Note that use cases were asked in either March 2024 or September 2023.
